Persona 44, 03:30:07.244174
Persona 14, 03:30:07.244174
Persona 2, 03:30:07.244174
Persona 46, 03:30:07.244174
Persona 18, 03:30:07.244174
Persona 26, 03:30:07.244174
Persona 29, 03:30:07.244174
Persona 28, 03:30:07.244174
Persona 52, 03:30:07.244174
Persona 33, 03:30:07.244174
Persona 13, 03:30:07.244174
Persona 16, 03:30:07.244174
Persona 27, 03:30:07.244174
Persona 7, 03:30:07.244174
Persona 25, 03:30:07.244174
Persona 41, 03:30:08.259291
Persona 32, 03:30:08.259291
Persona 3, 03:30:08.259291
Persona 88, 03:30:08.259291
Persona 42, 03:30:08.274305
Persona 4, 03:30:08.274305
Persona 63, 03:30:08.274305
Persona 72, 03:30:08.274305
Persona 87, 03:30:08.274305
Persona 82, 03:30:08.274305
Persona 43, 03:30:08.274305
Persona 49, 03:30:08.274305
Persona 55, 03:30:08.274305
Persona 91, 03:30:08.274305
Persona 85, 03:30:08.274305
Persona 68, 03:30:08.274305
Persona 47, 03:30:08.274305
Persona 61, 03:30:08.274305
Persona 17, 03:30:08.274305
Persona 56, 03:30:08.274305
Persona 8, 03:30:08.274305
Persona 74, 03:30:08.274305
Persona 92, 03:30:08.274305
Persona 95, 03:30:08.274305
Persona 11, 03:30:08.274305
Persona 36, 03:30:09.259391
Persona 19, 03:30:09.259391
Persona 39, 03:30:09.259391
Persona 10, 03:30:09.274404
Persona 21, 03:30:09.274404
Persona 1, 03:30:09.274404
Persona 23, 03:30:09.274404
Persona 24, 03:30:09.274404
Persona 45, 03:30:09.274404
Persona 12, 03:30:09.274404
Persona 20, 03:30:09.274404
Persona 35, 03:30:09.274404
Persona 69, 03:30:10.278345
Persona 84, 03:30:10.278345
Persona 60, 03:30:10.278345
Persona 50, 03:30:10.278345
Persona 6, 03:30:10.294350
Persona 54, 03:30:10.294350
Persona 15, 03:30:10.294350
Persona 38, 03:30:10.294350
Persona 22, 03:30:10.294350
Persona 51, 03:30:10.294350
Persona 5, 03:30:10.294350
Persona 40, 03:30:10.294350
Persona 37, 03:30:10.294350
Persona 31, 03:30:10.294350
Persona 67, 03:30:10.294350
Persona 73, 03:30:10.294350
Persona 30, 03:30:10.294350
Persona 9, 03:30:10.294350
Persona 34, 03:30:10.294350
Persona 76, 03:30:10.294350
Persona 96, 03:30:23.269754
Persona 70, 03:30:23.269754
Persona 65, 03:30:23.269754
Persona 79, 03:30:23.269754
Persona 86, 03:30:23.269754
Persona 59, 03:30:23.284768
Persona 77, 03:30:23.284768
Persona 71, 03:30:23.284768
Persona 81, 03:30:23.284768
Persona 90, 03:30:23.284768
Persona 89, 03:30:23.284768
Persona 62, 03:30:23.284768
Persona 57, 03:30:23.284768
Persona 97, 03:30:25.317161
Persona 83, 03:30:27.336144
Persona 78, 03:30:27.336144
Persona 80, 03:30:27.336144
Persona 75, 03:30:27.336144
Persona 58, 03:30:27.336144
Persona 66, 03:30:27.336144
Persona 48, 03:30:27.336144
Persona 94, 03:30:27.336144
Persona 64, 03:30:27.336144
Persona 53, 03:30:27.336144
Persona 98, 03:30:29.354411
Persona 100, 03:30:29.354411
Persona 93, 03:30:29.354411
Persona 99, 03:30:29.354411
